"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"171","org.apache.tools.ant.taskdefs.Patch","0","0","11","0","0","0","0","0","0","0","11","0","250","0","1","0","0","0","0","0.181818181818183"
"172","org.apache.tools.ant.taskdefs.compilers.Jvc","0","0","2","0","0","0","0","0","0","0","2","0","149","0","0","0","0","0","0","0"
"173","org.apache.tools.ant.taskdefs.Rmic","0","0","49","0","0","0","2","0","0","0","44","0","860","0","4","0","0","0","0","0.479591836734695"
"174","org.apache.tools.ant.taskdefs.ProcessDestroyer$ProcessDestroyerImpl","0","0","3","0","0","0","0","0","0","0","3","0","26","0","1","0","0","0","0","0.333333333333333"
"175","org.apache.tools.ant.taskdefs.PathConvert$TargetOs","0","0","2","0","0","0","0","0","0","0","2","0","28","0","0","0","0","0","0","0"
"176","org.apache.tools.ant.helper.AntXMLContext","0","0","28","0","0","0","0","0","0","0","28","0","300","0","3","0","0","0","0","0.214285714285714"
"177","org.apache.tools.zip.ZipShort","0","0","10","0","0","0","0","0","0","0","10","0.583333333333333","124","0","0","0","0","0","0","0.0500000000000007"
"178","org.apache.tools.ant.types.resources.ImmutableResourceException","0","0","2","0","0","0","0","0","0","0","2","0","9","0","0","0","0","0","0","0"
"179","org.apache.tools.ant.types.LogLevel","0","0","5","0","2","0","0","0","0","0","3","0","105","0","5","0","0","0","0","0.599999999999998"
"180","org.apache.tools.ant.taskdefs.SignJar","0","0","20","0","0","0","0","0","0","0","15","0","458","0","2","0","0","0","0","0.375"
"181","org.apache.tools.ant.taskdefs.condition.Http","0","0","4","0","0","0","0","0","0","0","4","0","110","0","0","0","0","0","0","0.375"
"182","org.apache.tools.ant.types.Path$PathElement","0","0","7","0","0","0","0","0","0","0","7","0","55","0","1","0","0","0","0","0.142857142857143"
